날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모,persona_id,transaction_id,cashflow_bucket,account_ref,api_ref,income_type,rule_id
2026-07-13,16:08,지출,생활,편의점,CU 정림동점,-1800,KRW,토스 간편결제,,P0001,P0001-T0441,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00043,,calib:생활/편의점
2026-07-13,14:41,지출,생활,편의점,세븐일레븐,-2600,KRW,토스 간편결제,숙취해소용,P0001,P0001-T0444,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00044,,calib:생활/편의점
2026-07-13,13:21,지출,생활,편의점,GS25 탄방동점,-4980,KRW,신한 Deep Dream 체크,,P0001,P0001-T0445,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000198;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000198,,calib:생활/편의점
2026-07-13,11:27,지출,생활,서비스구독,멜론,-4900,KRW,신한 Deep Dream 체크,,P0001,P0001-T0419,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000183;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000183,,fixed:구독
2026-07-13,10:05,이체,저축,예적금/청약,국민은행 KB 청년도약계좌,-30000,KRW,하나핀크 생활통장,,P0001,P0001-T0421,저축,P0001-BANK-MAIN->P0001-BANK-SAVE,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100136;bank/은행-004-국민은행_KB_청년도약계좌_P0001-BANK-SAVE.json#BP000100034,,savings:정기
2026-07-12,12:45,지출,교육/학습,학원/강의,탄방동수학학원,-88100,KRW,신한 Deep Dream 체크,,P0001,P0001-T0427,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000187;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000187,,triangular:학원/강의
2026-07-11,18:31,지출,문화/여가,도서,둔산동책방,-22600,KRW,신한 Deep Dream 체크,,P0001,P0001-T0422,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000184;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000184,,triangular:도서
2026-07-10,22:38,지출,뷰티/미용,화장품,가수원동뷰티샵,-32700,KRW,신한 Deep Dream 체크,,P0001,P0001-T0431,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000191;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000191,,triangular:화장품
2026-07-10,19:48,지출,교육/학습,학원/강의,패스트캠퍼스,-30000,KRW,신한 Deep Dream 체크,,P0001,P0001-T0429,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000189;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000189,,triangular:학원/강의
2026-07-10,18:39,지출,의료/건강,약국,관저동약국,-39300,KRW,네이버페이 간편결제,,P0001,P0001-T0448,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00041;efinance/전금-004-네이버페이_머니.json#WP000100017,,calib:의료/건강/약국
2026-07-09,14:05,지출,뷰티/미용,화장품,정림동코스메틱스토어,-28700,KRW,신한 Deep Dream 체크,,P0001,P0001-T0424,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000185;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000185,,triangular:화장품
2026-07-09,13:02,지출,의료/건강,약국,도마동행복약국,-22000,KRW,카카오페이 간편결제,상비약 채우기,P0001,P0001-T0447,소비,P0001-카카오페이,efinance/전금-103-카카오페이.json#EP0001카00026,,calib:의료/건강/약국
2026-07-09,11:28,지출,문화/여가,도서,밀리의서재,-43100,KRW,신한 Deep Dream 체크,,P0001,P0001-T0430,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000190;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000190,,triangular:도서
2026-07-06,21:08,지출,온라인쇼핑,인터넷쇼핑,번개장터,-75224,KRW,카카오페이 간편결제,,P0001,P0001-T0440,소비,P0001-카카오페이,efinance/전금-103-카카오페이.json#EP0001카00025,,calib:온라인쇼핑/인터넷쇼핑
2026-07-06,20:10,지출,문화/여가,도서,영풍문고,-43700,KRW,신한 Deep Dream 체크,,P0001,P0001-T0432,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000192;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000192,,triangular:도서
2026-07-06,19:06,이체,저축,예적금/청약,국민은행 KB 청년도약계좌,-30000,KRW,하나핀크 생활통장,,P0001,P0001-T0420,저축,P0001-BANK-MAIN->P0001-BANK-SAVE,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100135;bank/은행-004-국민은행_KB_청년도약계좌_P0001-BANK-SAVE.json#BP000100033,,savings:정기
2026-07-06,15:24,지출,문화/여가,도서,둔산동 헌책방,-35500,KRW,신한 Deep Dream 체크,독서모임 선정도서,P0001,P0001-T0425,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000186;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000186,,triangular:도서
2026-07-06,09:49,지출,문화/여가,도서,정림동북카페,-18600,KRW,하나핀크 생활통장,,P0001,P0001-T0423,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100137,,triangular:도서
2026-07-06,07:56,지출,교통,택시,둔산동콜택시,-6500,KRW,신한 Deep Dream 체크,,P0001,P0001-T0433,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000193;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000193,,calib:교통/택시
2026-07-05,19:52,지출,교통,택시,정림동콜택시,-5582,KRW,토스 간편결제,,P0001,P0001-T0438,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00042,,calib:교통/택시
2026-07-05,15:30,수입,기타수입,용돈,가족 지원금,500000,KRW,하나핀크 생활통장,,P0001,P0001-T0418,소득,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100134,용돈,income:용돈
2026-07-05,10:30,지출,온라인쇼핑,인터넷쇼핑,정육각,-39700,KRW,하나핀크 생활통장,,P0001,P0001-T0439,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100138,,calib:온라인쇼핑/인터넷쇼핑
2026-07-04,14:04,지출,생활,편의점,세븐일레븐,-1400,KRW,신한 Deep Dream 체크,,P0001,P0001-T0442,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000196;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000196,,calib:생활/편의점
2026-07-04,13:18,지출,뷰티/미용,화장품,탄방동코스메틱스토어,-15900,KRW,네이버페이 간편결제,기초템 재구매,P0001,P0001-T0426,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00039;efinance/전금-004-네이버페이_머니.json#WP000100016,,triangular:화장품
2026-07-04,09:53,지출,교통,택시,둔산동콜택시,-6700,KRW,신한 Deep Dream 체크,,P0001,P0001-T0434,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000194;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000194,,calib:교통/택시
2026-07-03,18:15,지출,교육/학습,학원/강의,탈잉,-75900,KRW,신한 Deep Dream 체크,,P0001,P0001-T0428,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000188;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000188,,triangular:학원/강의
2026-07-03,11:39,지출,의료/건강,약국,메디팜약국,-33080,KRW,하나핀크 생활통장,,P0001,P0001-T0449,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100139,,calib:의료/건강/약국
2026-07-02,20:36,지출,의료/건강,약국,탄방동행복약국,-14600,KRW,신한 Deep Dream 체크,,P0001,P0001-T0446,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000199;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000199,,calib:의료/건강/약국
2026-07-02,18:16,지출,교통,택시,서구모범콜택시,-5000,KRW,네이버페이 간편결제,,P0001,P0001-T0436,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00040,,calib:교통/택시
2026-07-01,22:14,지출,생활,편의점,CU 관저동점,-4700,KRW,신한 Deep Dream 체크,,P0001,P0001-T0443,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000197;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000197,,calib:생활/편의점
2026-07-01,19:56,지출,교통,택시,갈마동콜택시,-4400,KRW,신한 Deep Dream 체크,,P0001,P0001-T0435,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000195;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000195,,calib:교통/택시
2026-07-01,09:36,지출,교통,택시,관저동개인택시,-3200,KRW,토스 간편결제,,P0001,P0001-T0437,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00041,,calib:교통/택시
2026-06-30,22:11,지출,생활,편의점,CU 월평동점,-15400,KRW,신한 Deep Dream 체크,,P0001,P0001-T0415,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000180;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000180,,calib:생활/편의점
2026-06-30,20:25,지출,식비,한식,오봉집,-2600,KRW,카카오페이 간편결제,,P0001,P0001-T0350,소비,P0001-카카오페이,efinance/전금-103-카카오페이.json#EP0001카00020,,calib:요식/한식
2026-06-30,18:31,지출,교통,택시,정림동개인택시,-3100,KRW,네이버페이 간편결제,,P0001,P0001-T0390,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00038;efinance/전금-004-네이버페이_머니.json#WP000100015,,calib:교통/택시
2026-06-29,20:44,지출,식비,한식,갈마동비빔밥,-2600,KRW,신한 Deep Dream 체크,,P0001,P0001-T0348,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000147;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000147,,calib:요식/한식
2026-06-29,15:30,이체,저축,예적금/청약,국민은행 KB 청년도약계좌,-12000,KRW,하나핀크 생활통장,,P0001,P0001-T0335,저축,P0001-BANK-MAIN->P0001-BANK-SAVE,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100119;bank/은행-004-국민은행_KB_청년도약계좌_P0001-BANK-SAVE.json#BP000100031,,savings:정기
2026-06-29,11:50,지출,식비,배달,탄방동족발보쌈배달,-4600,KRW,신한 Deep Dream 체크,,P0001,P0001-T0371,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000156;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000156,,calib:요식/배달
2026-06-28,23:40,지출,교육/학습,학원/강의,이투스,-70300,KRW,토스 간편결제,,P0001,P0001-T0383,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00036,,triangular:학원/강의
2026-06-28,15:01,이체,저축,예적금/청약,비상금 이체,-30000,KRW,하나핀크 생활통장,자동이체 저축,P0001,P0001-T0336,저축,P0001-BANK-MAIN->P0001-BANK-SAVE,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100120;bank/은행-004-국민은행_KB_청년도약계좌_P0001-BANK-SAVE.json#BP000100032,,savings:비상금
2026-06-28,13:31,지출,식비,배달,땡겨요,-2131,KRW,신한 Deep Dream 체크,최소주문 맞추려고 추가주문,P0001,P0001-T0373,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000158;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000158,,calib:요식/배달
2026-06-27,18:51,지출,문화/여가,도서,둔산동책방,-14600,KRW,신한 Deep Dream 체크,,P0001,P0001-T0380,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000161;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000161,,triangular:도서
2026-06-27,08:09,지출,식비,한식,둔산동제육볶음,-5300,KRW,하나핀크 생활통장,,P0001,P0001-T0349,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100121,,calib:요식/한식
2026-06-26,22:05,지출,생활,편의점,GS25,-22600,KRW,신한 Deep Dream 체크,,P0001,P0001-T0412,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000178;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000178,,calib:생활/편의점
2026-06-25,23:24,지출,온라인쇼핑,인터넷쇼핑,오늘의집 파트너스,-19800,KRW,신한 Deep Dream 체크,친구 생일선물,P0001,P0001-T0403,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000175;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000175,,calib:온라인쇼핑/인터넷쇼핑
2026-06-25,19:08,지출,식비,배달,도마동떡볶이배달,-2300,KRW,네이버페이 간편결제,,P0001,P0001-T0368,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00035,,calib:요식/배달
2026-06-25,11:19,지출,카페/간식,커피/음료,블루보틀,-3500,KRW,신한 Deep Dream 체크,,P0001,P0001-T0365,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000152;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000152,,calib:요식/카페
2026-06-25,09:46,지출,식비,배달,월평동샌드위치배달,-2000,KRW,신한 Deep Dream 체크,,P0001,P0001-T0367,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000153;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000153,,calib:요식/배달
2026-06-25,09:32,지출,주거,월세/관리비,탄방동 아파트 관리비,-230000,KRW,하나핀크 생활통장,,P0001,P0001-T0328,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100113,,fixed:월세관리비
2026-06-25,08:13,지출,생활,통신,월평동알뜰폰샵,-20000,KRW,하나핀크 생활통장,,P0001,P0001-T0329,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100114,,fixed:통신
2026-06-24,21:02,지출,온라인쇼핑,인터넷쇼핑,화해쇼핑,-36100,KRW,신한 Deep Dream 체크,,P0001,P0001-T0401,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000174;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000174,,calib:온라인쇼핑/인터넷쇼핑
2026-06-24,10:53,지출,온라인쇼핑,인터넷쇼핑,알리익스프레스,-49100,KRW,하나핀크 생활통장,,P0001,P0001-T0404,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100130,,calib:온라인쇼핑/인터넷쇼핑
2026-06-24,08:14,지출,식비,한식,월평동추어탕,-5400,KRW,네이버페이 간편결제,,P0001,P0001-T0346,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00031,,calib:요식/한식
2026-06-23,23:23,지출,교통,택시,타다,-1900,KRW,토스 간편결제,,P0001,P0001-T0392,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00037,,calib:교통/택시
2026-06-23,19:11,지출,카페/간식,커피/음료,갈마동로스터리,-1100,KRW,토스 간편결제,,P0001,P0001-T0359,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00034,,calib:요식/카페
2026-06-23,17:21,지출,생활,편의점,CU 가수원동점,-25600,KRW,토스 간편결제,,P0001,P0001-T0409,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00039,,calib:생활/편의점
2026-06-23,11:57,지출,생활,편의점,GS25 관저동점,-6100,KRW,신한 Deep Dream 체크,택배 픽업,P0001,P0001-T0416,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000181;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000181,,calib:생활/편의점
2026-06-23,08:31,지출,카페/간식,커피/음료,요거프레소,-4300,KRW,하나핀크 생활통장,,P0001,P0001-T0364,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100123,,calib:요식/카페
2026-06-23,07:29,지출,교통,택시,도마동콜택시,-3100,KRW,하나핀크 생활통장,,P0001,P0001-T0396,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100128,,calib:교통/택시
2026-06-22,18:40,이체,저축,예적금/청약,국민은행 KB 청년도약계좌,-12000,KRW,하나핀크 생활통장,연말정산용 청약저축,P0001,P0001-T0334,저축,P0001-BANK-MAIN->P0001-BANK-SAVE,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100118;bank/은행-004-국민은행_KB_청년도약계좌_P0001-BANK-SAVE.json#BP000100030,,savings:정기
2026-06-21,20:04,지출,식비,한식,본죽,-1800,KRW,신한 Deep Dream 체크,친구랑 오랜만에,P0001,P0001-T0339,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000144;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000144,,calib:요식/한식
2026-06-21,14:51,지출,교육/학습,학원/강의,챗GPT 플러스,-45900,KRW,신한 Deep Dream 체크,,P0001,P0001-T0385,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000164;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000164,,triangular:학원/강의
2026-06-21,09:13,지출,교통,택시,가수원동콜택시,-1900,KRW,신한 Deep Dream 체크,,P0001,P0001-T0388,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000167;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000167,,calib:교통/택시
2026-06-20,08:25,지출,교통,택시,관저동콜택시,-1900,KRW,하나핀크 생활통장,술자리 끝나고,P0001,P0001-T0395,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100127,,calib:교통/택시
2026-06-19,21:22,지출,온라인쇼핑,인터넷쇼핑,오늘의집,-35700,KRW,하나핀크 생활통장,장바구니 정리하다가,P0001,P0001-T0407,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100132,,calib:온라인쇼핑/인터넷쇼핑
2026-06-19,20:12,지출,식비,한식,둔산동국밥,-1300,KRW,네이버페이 간편결제,,P0001,P0001-T0344,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00030,,calib:요식/한식
2026-06-19,19:25,지출,카페/간식,커피/음료,월평동카페,-1300,KRW,카카오페이 간편결제,,P0001,P0001-T0363,소비,P0001-카카오페이,efinance/전금-103-카카오페이.json#EP0001카00022,,calib:요식/카페
2026-06-19,19:17,지출,카페/간식,커피/음료,컴포즈커피,-2600,KRW,신한 Deep Dream 체크,,P0001,P0001-T0361,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000151;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000151,,calib:요식/카페
2026-06-19,17:50,지출,패션/쇼핑,패션,갈마동편집숍,-40900,KRW,카카오페이 간편결제,,P0001,P0001-T0381,소비,P0001-카카오페이,efinance/전금-103-카카오페이.json#EP0001카00024,,triangular:패션
2026-06-19,13:52,지출,교육/학습,학원/강의,해커스,-33700,KRW,하나핀크 생활통장,,P0001,P0001-T0379,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100124,,triangular:학원/강의
2026-06-18,22:02,지출,교통,택시,우티,-1500,KRW,신한 Deep Dream 체크,,P0001,P0001-T0386,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000165;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000165,,calib:교통/택시
2026-06-18,18:21,수입,근로소득,알바비,㈜하늘전자 용역비 지급,720000,KRW,하나핀크 생활통장,,P0001,P0001-T0323,소득,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100108,알바비,income:알바비
2026-06-18,09:04,지출,식비,한식,갈마동보쌈,-1400,KRW,신한 Deep Dream 체크,회식 2차,P0001,P0001-T0347,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000146;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000146,,calib:요식/한식
2026-06-17,20:40,지출,문화/여가,도서,정림동북카페,-19400,KRW,신한 Deep Dream 체크,,P0001,P0001-T0384,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000163;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000163,,triangular:도서
2026-06-17,19:22,지출,카페/간식,커피/음료,월평동로스터리,-2100,KRW,토스 간편결제,,P0001,P0001-T0353,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00032,,calib:요식/카페
2026-06-17,09:09,지출,식비,배달,정림동야식배달,-1000,KRW,신한 Deep Dream 체크,,P0001,P0001-T0370,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000155;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000155,,calib:요식/배달
2026-06-16,21:07,지출,식비,한식,도마동냉면,-2800,KRW,토스 간편결제,혼밥,P0001,P0001-T0337,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00030,,calib:요식/한식
2026-06-16,12:58,지출,온라인쇼핑,인터넷쇼핑,알리익스프레스,-37800,KRW,토스 간편결제,연말 선물 미리 준비,P0001,P0001-T0406,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00038,,calib:온라인쇼핑/인터넷쇼핑
2026-06-15,23:22,지출,온라인쇼핑,인터넷쇼핑,발란,-21100,KRW,하나핀크 생활통장,,P0001,P0001-T0405,소비,P0001-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100131,,calib:온라인쇼핑/인터넷쇼핑
2026-06-15,19:12,지출,생활,편의점,CU 관저동점,-26200,KRW,신한 Deep Dream 체크,,P0001,P0001-T0411,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000177;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000177,,calib:생활/편의점
2026-06-15,19:07,지출,식비,한식,김밥천국,-5400,KRW,카카오페이 간편결제,장모임 다녀와서,P0001,P0001-T0338,소비,P0001-카카오페이,efinance/전금-103-카카오페이.json#EP0001카00018;efinance/전금-004-카카오페이_머니.json#WP000100004,,calib:요식/한식
2026-06-15,17:20,지출,생활,편의점,GS25 월평동점,-19653,KRW,신한 Deep Dream 체크,,P0001,P0001-T0417,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000182;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000182,,calib:생활/편의점
2026-06-15,13:53,지출,카페/간식,커피/음료,정림동카페,-900,KRW,신한 Deep Dream 체크,,P0001,P0001-T0356,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000149;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000149,,calib:요식/카페
2026-06-15,12:42,지출,식비,배달,갈마동탕수육배달,-1700,KRW,신한 Deep Dream 체크,,P0001,P0001-T0369,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000154;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000154,,calib:요식/배달
2026-06-15,12:05,이체,저축,예적금/청약,국민은행 KB 청년도약계좌,-12000,KRW,하나핀크 생활통장,,P0001,P0001-T0333,저축,P0001-BANK-MAIN->P0001-BANK-SAVE,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100117;bank/은행-004-국민은행_KB_청년도약계좌_P0001-BANK-SAVE.json#BP000100029,,savings:정기
2026-06-15,09:21,지출,카페/간식,커피/음료,정림동로스터리,-3100,KRW,카카오페이 간편결제,,P0001,P0001-T0357,소비,P0001-카카오페이,efinance/전금-103-카카오페이.json#EP0001카00021,,calib:요식/카페
2026-06-15,07:18,지출,교통,택시,관저동개인택시,-3000,KRW,신한 Deep Dream 체크,,P0001,P0001-T0397,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000170;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000170,,calib:교통/택시
2026-06-14,22:51,지출,교통,택시,우티,-900,KRW,신한 Deep Dream 체크,술자리 끝나고,P0001,P0001-T0398,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000171;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000171,,calib:교통/택시
2026-06-13,20:39,지출,카페/간식,디저트/떡,둔산동와플,-7415,KRW,신한 Deep Dream 체크,,P0001,P0001-T0374,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000159;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000159,,calib:요식/디저트
